ticker,name_kr,name_en,sector,exchange,current_price,prev_close,day_change,day_change_pct,high_52w,low_52w,decline_from_high_pct,market_cap,volume,currency,updated_at,snapshot_time
MNTS,모멘터스,Momentus,Space Tech,NASDAQ,3.54,3.64,-0.1,-2.75,43.5714,3.11,-91.88,5910253.0,314742,USD,2026-04-09T17:06:52.508271,2026-04-09T17:07:05.890969
CONL,GraniteShares 코인베이스 2X ETF,GraniteShares 2x Long COIN Daily ETF,ETF,NYSE,6.83,7.01,-0.18,-2.57,72.345,5.02,-90.56,,15243010,USD,2026-04-09T17:07:01.723047,2026-04-09T17:07:05.890969
FIG,피그마,Figma,Design Software,NYSE,18.95,20.15,-1.2,-5.96,142.92,18.82,-86.74,9886520320.0,9060078,USD,2026-04-09T17:06:50.130404,2026-04-09T17:07:05.890969
CRCL,써클 인터넷 그룹,Circle Internet Group,Fintech,NYSE,89.27,94.44,-5.17,-5.47,298.99,49.9,-70.14,23733813248.0,7581236,USD,2026-04-09T17:06:58.273149,2026-04-09T17:07:05.890969
COIN,코인베이스 글로벌,Coinbase Global,Fintech,NASDAQ,172.665,175.09,-2.425,-1.39,444.65,139.36,-61.17,46560428032.0,6035932,USD,2026-04-09T17:06:43.730292,2026-04-09T17:07:05.890969
NOW,서비스나우,ServiceNow,Enterprise Software,NYSE,90.435,97.47,-7.035,-7.22,211.478,89.86,-57.24,94595006464.0,22554411,USD,2026-04-09T17:07:00.607918,2026-04-09T17:07:05.890969
TEM,템퍼스 AI,Tempus AI,AI / Healthcare,NASDAQ,45.315,47.5,-2.185,-4.6,104.32,36.22,-56.56,8129720320.0,3018423,USD,2026-04-09T17:06:45.959386,2026-04-09T17:07:05.890969
INTU,인튜이트,Intuit,Fintech Software,NASDAQ,361.925,389.51,-27.585,-7.08,810.7225,349.0,-55.36,100693475328.0,3725040,USD,2026-04-09T17:06:57.165751,2026-04-09T17:07:05.890969
HOOD,로빈후드,Robinhood Markets,Fintech,NASDAQ,71.2885,71.83,-0.5415,-0.75,153.86,33.55,-53.67,64181633024.0,15405934,USD,2026-04-09T17:06:47.084873,2026-04-09T17:07:05.890969
ADBE,어도비,Adobe,Software,NASDAQ,228.82,239.31,-10.49,-4.38,422.95,228.385,-45.9,93275488256.0,3446738,USD,2026-04-09T17:06:54.776839,2026-04-09T17:07:05.890969
CRM,세일즈포스,Salesforce,CRM Software,NYSE,168.255,176.37,-8.115,-4.6,294.592,167.12,-42.89,157654941696.0,9718880,USD,2026-04-09T17:06:55.893490,2026-04-09T17:07:05.890969
PLTR,팔란티어 테크놀로지스,Palantir Technologies,AI / Data Analytics,NASDAQ,130.08,140.76,-10.68,-7.59,207.52,77.27,-37.32,311109156864.0,58220353,USD,2026-04-09T17:07:05.377871,2026-04-09T17:07:05.890969
IGV,iShares 북미 소프트웨어 ETF,iShares Expanded Tech-Software ETF,ETF,NYSE,76.375,79.75,-3.375,-4.23,117.99,76.26,-35.27,954849984.0,22589788,USD,2026-04-09T17:06:51.384454,2026-04-09T17:07:05.890969
CRWD,크라우드스트라이크 홀딩스,CrowdStrike Holdings,Cybersecurity,NASDAQ,397.335,426.51,-29.175,-6.84,566.9,324.49,-29.91,100769751040.0,2775841,USD,2026-04-09T17:06:53.623657,2026-04-09T17:07:05.890969
PANW,팔로 알토 네트웍스,Palo Alto Networks,Cybersecurity,NASDAQ,165.305,173.78,-8.475,-4.88,223.61,139.57,-26.07,134888873984.0,4835407,USD,2026-04-09T17:06:44.836157,2026-04-09T17:07:05.890969
6324.T,하모닉 드라이브 시스템스,Harmonic Drive Systems,Industrial / Robotics,TSE,,4155.0,,,4922.8596,2301.7142,,372987166720.0,1104400,JPY,2026-04-09T17:06:59.498656,2026-04-09T17:07:05.890969
MNTS,모멘터스,Momentus,Space Tech,NASDAQ,3.54,3.64,-0.1,-2.75,43.5714,3.11,-91.88,5910253.0,314832,USD,2026-04-09T17:07:19.162769,2026-04-09T17:07:31.082231
CONL,GraniteShares 코인베이스 2X ETF,GraniteShares 2x Long COIN Daily ETF,ETF,NYSE,6.8399,7.01,-0.1701,-2.43,72.345,5.02,-90.55,,15262080,USD,2026-04-09T17:07:26.996549,2026-04-09T17:07:31.082231
FIG,피그마,Figma,Design Software,NYSE,18.95,20.15,-1.2,-5.96,142.92,18.82,-86.74,9886520320.0,9075164,USD,2026-04-09T17:07:17.226054,2026-04-09T17:07:31.082231
CRCL,써클 인터넷 그룹,Circle Internet Group,Fintech,NYSE,89.37,94.44,-5.07,-5.37,298.99,49.9,-70.11,23757744128.0,7591788,USD,2026-04-09T17:07:24.023035,2026-04-09T17:07:31.082231
COIN,코인베이스 글로벌,Coinbase Global,Fintech,NASDAQ,172.88,175.09,-2.21,-1.26,444.65,139.36,-61.12,46618406912.0,6042340,USD,2026-04-09T17:07:11.011740,2026-04-09T17:07:31.082231
NOW,서비스나우,ServiceNow,Enterprise Software,NYSE,90.47,97.47,-7.0,-7.18,211.478,89.86,-57.22,94631624704.0,22571628,USD,2026-04-09T17:07:26.042803,2026-04-09T17:07:31.082231
TEM,템퍼스 AI,Tempus AI,AI / Healthcare,NASDAQ,45.385,47.5,-2.115,-4.45,104.32,36.22,-56.49,8142278656.0,3022498,USD,2026-04-09T17:07:13.031701,2026-04-09T17:07:31.082231
INTU,인튜이트,Intuit,Fintech Software,NASDAQ,361.9,389.51,-27.61,-7.09,810.7225,349.0,-55.36,100707385344.0,3730227,USD,2026-04-09T17:07:23.048240,2026-04-09T17:07:31.082231
HOOD,로빈후드,Robinhood Markets,Fintech,NASDAQ,71.4499,71.83,-0.3801,-0.53,153.86,33.55,-53.56,64326942720.0,15439272,USD,2026-04-09T17:07:13.989669,2026-04-09T17:07:31.082231
ADBE,어도비,Adobe,Software,NASDAQ,228.97,239.31,-10.34,-4.32,422.95,228.385,-45.86,93336625152.0,3451162,USD,2026-04-09T17:07:21.102626,2026-04-09T17:07:31.082231
CRM,세일즈포스,Salesforce,CRM Software,NYSE,168.3601,176.37,-8.0099,-4.54,294.592,167.12,-42.85,157753425920.0,9733187,USD,2026-04-09T17:07:22.062639,2026-04-09T17:07:31.082231
PLTR,팔란티어 테크놀로지스,Palantir Technologies,AI / Data Analytics,NASDAQ,130.0751,140.76,-10.6849,-7.59,207.52,77.27,-37.32,311097458688.0,58294481,USD,2026-04-09T17:07:30.569593,2026-04-09T17:07:31.082231
IGV,iShares 북미 소프트웨어 ETF,iShares Expanded Tech-Software ETF,ETF,NYSE,76.425,79.75,-3.325,-4.17,117.99,76.26,-35.23,955312512.0,22606949,USD,2026-04-09T17:07:18.204453,2026-04-09T17:07:31.082231
CRWD,크라우드스트라이크 홀딩스,CrowdStrike Holdings,Cybersecurity,NASDAQ,397.945,426.51,-28.565,-6.7,566.9,324.49,-29.8,100924465152.0,2779282,USD,2026-04-09T17:07:20.121469,2026-04-09T17:07:31.082231
PANW,팔로 알토 네트웍스,Palo Alto Networks,Cybersecurity,NASDAQ,165.48,173.78,-8.3,-4.78,223.61,139.57,-26.0,134958235648.0,4839233,USD,2026-04-09T17:07:12.070232,2026-04-09T17:07:31.082231
6324.T,하모닉 드라이브 시스템스,Harmonic Drive Systems,Industrial / Robotics,TSE,,4155.0,,,4922.8596,2301.7142,,372987166720.0,1104400,JPY,2026-04-09T17:07:25.075580,2026-04-09T17:07:31.082231
